TransactionID,Date,CustomerID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,24-11-2023,CUST0020,Male,67,Sports,11,104,1144
2,24-11-2023,CUST9056,Female,23,Books,5,163,815
3,24-11-2023,CUST9975,Female,51,Beauty,5,393,1965
4,24-11-2023,CUST5740,Female,53,Clothing,2,431,862
5,24-11-2023,CUST9080,Female,39,Books,10,149,1490
6,24-11-2023,CUST0590,Male,50,Books,6,343,2058
7,24-11-2023,CUST1822,Female,58,Groceries,6,153,918
8,24-11-2023,CUST5163,Male,27,Electronics,6,65,390
9,24-11-2023,CUST2388,Male,34,Electronics,19,248,4712
10,24-11-2023,CUST2156,Female,18,Clothing,16,469,7504
11,24-11-2023,CUST2381,Male,44,Sports,18,459,8262
12,24-11-2023,CUST8210,Female,52,Groceries,16,39,624
13,24-11-2023,CUST8718,Male,23,Beauty,5,403,2015
14,24-11-2023,CUST6881,Female,20,Sports,19,289,5491
15,24-11-2023,CUST3301,Female,26,Clothing,3,269,807
16,24-11-2023,CUST3860,Female,18,Books,17,285,4845
17,24-11-2023,CUST9852,Male,33,Clothing,6,124,744
18,24-11-2023,CUST9693,Male,23,Sports,11,156,1716
19,24-11-2023,CUST0999,Male,48,Sports,19,154,2926
20,24-11-2023,CUST5224,Male,24,Sports,14,182,2548
21,24-11-2023,CUST0248,Female,56,Books,20,309,6180
22,24-11-2023,CUST7273,Male,19,Beauty,11,340,3740
23,24-11-2023,CUST9635,Male,36,Groceries,4,54,216
24,24-11-2023,CUST4047,Female,56,Sports,15,453,6795
25,24-11-2023,CUST2702,Female,35,Clothing,12,11,132
26,24-11-2023,CUST5299,Male,32,Electronics,13,118,1534
27,24-11-2023,CUST7909,Male,18,Clothing,11,325,3575
28,24-11-2023,CUST3808,Male,42,Books,8,378,3024
29,24-11-2023,CUST9690,Male,67,Beauty,4,402,1608
30,24-11-2023,CUST6171,Female,29,Clothing,15,186,2790
31,24-11-2023,CUST3910,Female,69,Sports,3,383,1149
32,24-11-2023,CUST0422,Male,44,Groceries,7,328,2296
33,24-11-2023,CUST8807,Female,43,Electronics,5,377,1885
34,24-11-2023,CUST0060,Male,51,Sports,16,468,7488
35,24-11-2023,CUST1967,Female,45,Beauty,9,117,1053
36,24-11-2023,CUST3583,Male,69,Clothing,16,441,7056
37,24-11-2023,CUST6921,Female,37,Sports,1,410,410
38,24-11-2023,CUST2051,Male,29,Clothing,2,497,994
39,24-11-2023,CUST6763,Female,55,Books,20,301,6020
40,24-11-2023,CUST4267,Female,61,Books,8,310,2480
41,24-11-2023,CUST6266,Female,20,Beauty,2,275,550
42,24-11-2023,CUST5777,Male,27,Electronics,17,78,1326
43,24-11-2023,CUST5857,Male,42,Beauty,10,135,1350
44,24-11-2023,CUST6680,Female,41,Electronics,19,88,1672
45,24-11-2023,CUST1252,Male,51,Groceries,16,316,5056
46,24-11-2023,CUST8791,Female,48,Books,1,391,391
47,24-11-2023,CUST1623,Female,22,Sports,18,80,1440
48,24-11-2023,CUST5208,Female,25,Books,17,310,5270
49,24-11-2023,CUST4413,Male,29,Electronics,5,185,925
50,24-11-2023,CUST2942,Male,68,Beauty,12,407,4884
51,24-11-2023,CUST6200,Female,24,Beauty,7,152,1064
52,24-11-2023,CUST9070,Male,56,Beauty,9,372,3348
53,24-11-2023,CUST4102,Male,64,Clothing,16,466,7456
54,24-11-2023,CUST1533,Female,64,Beauty,6,143,858
55,24-11-2023,CUST2556,Male,57,Sports,14,476,6664
56,24-11-2023,CUST6655,Female,30,Electronics,10,16,160
57,24-11-2023,CUST2155,Male,61,Electronics,15,423,6345
58,24-11-2023,CUST9397,Female,31,Clothing,16,140,2240
59,24-11-2023,CUST0116,Female,24,Sports,2,412,824
60,24-11-2023,CUST8222,Male,21,Beauty,10,117,1170
61,24-11-2023,CUST8877,Female,33,Electronics,6,102,612
