TransactionID,Date,CustomerID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Quarter,Year,Age Group,Revenue Band
TX040001,2023-11-24,CUST0020,Male,67,Sports,11,104.0,1144.0,4,2023,Retired,High
TX040002,2023-11-24,CUST9056,Female,23,Books,5,163.0,815.0,4,2023,Teenager,High
TX040003,2023-11-24,CUST9975,Female,51,Beauty,5,393.0,1965.0,4,2023,Middle Aged,High
TX040004,2023-11-24,CUST5740,Female,53,Clothing,2,431.0,862.0,4,2023,Middle Aged,High
TX040005,2023-11-24,CUST9080,Female,39,Books,10,149.0,1490.0,4,2023,Youth,High
TX040006,2023-11-24,CUST0590,Male,50,Books,6,343.0,2058.0,4,2023,Middle Aged,High
TX040007,2023-11-24,CUST1822,Female,58,Groceries,6,153.0,918.0,4,2023,Middle Aged,High
TX040008,2023-11-24,CUST5163,Male,27,Electronics,6,65.0,390.0,4,2023,Youth,Medium
TX040009,2023-11-24,CUST2388,Male,34,Electronics,19,248.0,4712.0,4,2023,Youth,High
TX040010,2023-11-24,CUST2156,Female,18,Clothing,16,469.0,7504.0,4,2023,,High
TX040011,2023-11-24,CUST2381,Male,44,Sports,18,459.0,8262.0,4,2023,Middle Aged,High
TX040012,2023-11-24,CUST8210,Female,52,Groceries,16,39.0,624.0,4,2023,Middle Aged,High
TX040013,2023-11-24,CUST8718,Male,23,Beauty,5,403.0,2015.0,4,2023,Teenager,High
TX040014,2023-11-24,CUST6881,Female,20,Sports,19,289.0,5491.0,4,2023,Teenager,High
TX040015,2023-11-24,CUST3301,Female,26,Clothing,3,269.0,807.0,4,2023,Youth,High
TX040016,2023-11-24,CUST3860,Female,18,Books,17,285.0,4845.0,4,2023,,High
TX040017,2023-11-24,CUST9852,Male,33,Clothing,6,124.0,744.0,4,2023,Youth,High
TX040018,2023-11-24,CUST9693,Male,23,Sports,11,156.0,1716.0,4,2023,Teenager,High
TX040019,2023-11-24,CUST0999,Male,48,Sports,19,154.0,2926.0,4,2023,Middle Aged,High
TX040020,2023-11-24,CUST5224,Male,24,Sports,14,182.0,2548.0,4,2023,Teenager,High
TX040021,2023-11-24,CUST0248,Female,56,Books,20,309.0,6180.0,4,2023,Middle Aged,High
TX040022,2023-11-24,CUST7273,Male,19,Beauty,11,340.0,3740.0,4,2023,Teenager,High
TX040023,2023-11-24,CUST9635,Male,36,Groceries,4,54.0,216.0,4,2023,Youth,Medium
TX040024,2023-11-24,CUST4047,Female,56,Sports,15,453.0,6795.0,4,2023,Middle Aged,High
TX040025,2023-11-24,CUST2702,Female,35,Clothing,12,11.0,132.0,4,2023,Youth,Medium
TX040026,2023-11-24,CUST5299,Male,32,Electronics,13,118.0,1534.0,4,2023,Youth,High
TX040027,2023-11-24,CUST7909,Male,18,Clothing,11,325.0,3575.0,4,2023,,High
TX040028,2023-11-24,CUST3808,Male,42,Books,8,378.0,3024.0,4,2023,Middle Aged,High
TX040029,2023-11-24,CUST9690,Male,67,Beauty,4,402.0,1608.0,4,2023,Retired,High
TX040030,2023-11-24,CUST6171,Female,29,Clothing,15,186.0,2790.0,4,2023,Youth,High
TX040031,2023-11-24,CUST3910,Female,69,Sports,3,383.0,1149.0,4,2023,Retired,High
TX040032,2023-11-24,CUST0422,Male,44,Groceries,7,328.0,2296.0,4,2023,Middle Aged,High
TX040033,2023-11-24,CUST8807,Female,43,Electronics,5,377.0,1885.0,4,2023,Middle Aged,High
TX040034,2023-11-24,CUST0060,Male,51,Sports,16,468.0,7488.0,4,2023,Middle Aged,High
TX040035,2023-11-24,CUST1967,Female,45,Beauty,9,117.0,1053.0,4,2023,Middle Aged,High
TX040036,2023-11-24,CUST3583,Male,69,Clothing,16,441.0,7056.0,4,2023,Retired,High
TX040037,2023-11-24,CUST6921,Female,37,Sports,1,410.0,410.0,4,2023,Youth,Medium
TX040038,2023-11-24,CUST2051,Male,29,Clothing,2,497.0,994.0,4,2023,Youth,High
TX040039,2023-11-24,CUST6763,Female,55,Books,20,301.0,6020.0,4,2023,Middle Aged,High
TX040040,2023-11-24,CUST4267,Female,61,Books,8,310.0,2480.0,4,2023,Retired,High
TX040041,2023-11-24,CUST6266,Female,20,Beauty,2,275.0,550.0,4,2023,Teenager,High
TX040042,2023-11-24,CUST5777,Male,27,Electronics,17,78.0,1326.0,4,2023,Youth,High
TX040043,2023-11-24,CUST5857,Male,42,Beauty,10,135.0,1350.0,4,2023,Middle Aged,High
TX040044,2023-11-24,CUST6680,Female,41,Electronics,19,88.0,1672.0,4,2023,Middle Aged,High
TX040045,2023-11-24,CUST1252,Male,51,Groceries,16,316.0,5056.0,4,2023,Middle Aged,High
TX040046,2023-11-24,CUST8791,Female,48,Books,1,391.0,391.0,4,2023,Middle Aged,Medium
TX040047,2023-11-24,CUST1623,Female,22,Sports,18,80.0,1440.0,4,2023,Teenager,High
TX040048,2023-11-24,CUST5208,Female,25,Books,17,310.0,5270.0,4,2023,Teenager,High
TX040049,2023-11-24,CUST4413,Male,29,Electronics,5,185.0,925.0,4,2023,Youth,High
TX040050,2023-11-24,CUST2942,Male,68,Beauty,12,407.0,4884.0,4,2023,Retired,High
TX040051,2023-11-24,CUST6200,Female,24,Beauty,7,152.0,1064.0,4,2023,Teenager,High
TX040052,2023-11-24,CUST9070,Male,56,Beauty,9,372.0,3348.0,4,2023,Middle Aged,High
TX040053,2023-11-24,CUST4102,Male,64,Clothing,16,466.0,7456.0,4,2023,Retired,High
TX040054,2023-11-24,CUST1533,Female,64,Beauty,6,143.0,858.0,4,2023,Retired,High
TX040055,2023-11-24,CUST2556,Male,57,Sports,14,476.0,6664.0,4,2023,Middle Aged,High
TX040056,2023-11-24,CUST6655,Female,30,Electronics,10,16.0,160.0,4,2023,Youth,Medium
TX040057,2023-11-24,CUST2155,Male,61,Electronics,15,423.0,6345.0,4,2023,Retired,High
TX040058,2023-11-24,CUST9397,Female,31,Clothing,16,140.0,2240.0,4,2023,Youth,High
TX040059,2023-11-24,CUST0116,Female,24,Sports,2,412.0,824.0,4,2023,Teenager,High
TX040060,2023-11-24,CUST8222,Male,21,Beauty,10,117.0,1170.0,4,2023,Teenager,High
TX040061,2023-11-24,CUST8877,Female,33,Electronics,6,102.0,612.0,4,2023,Youth,High
TX040062,2023-11-24,CUST3326,Female,37,Groceries,11,354.0,3894.0,4,2023,Youth,High
TX040063,2023-11-24,CUST6951,Female,39,Sports,18,89.0,1602.0,4,2023,Youth,High
TX040064,2023-11-24,CUST2583,Female,31,Beauty,6,280.0,1680.0,4,2023,Youth,High
TX040065,2023-11-24,CUST7329,Male,64,Sports,5,36.0,180.0,4,2023,Retired,Medium
TX040066,2023-11-24,CUST7662,Female,44,Clothing,13,49.0,637.0,4,2023,Middle Aged,High
TX040067,2023-11-24,CUST3606,Male,54,Sports,11,382.0,4202.0,4,2023,Middle Aged,High
TX040068,2023-11-24,CUST6839,Male,62,Beauty,17,425.0,7225.0,4,2023,Retired,High
TX040069,2023-11-24,CUST8068,Female,52,Clothing,10,459.0,4590.0,4,2023,Middle Aged,High
