OrderID,Amount
0,531.72
1,482.06
2,747.23
3,744.63
4,730.35
5,891.77
6,391.76
7,962.72
8,475.51
9,243.67
10,774.24
11,854.74
12,999.98
13,721.81
14,897.84
15,955.53
16,10.22
17,806.59
18,834.22
19,936.03
20,124.22
21,795.28
22,437.88
23,807.63
24,913.28
25,540.03
26,12.79
27,656.51
28,634.95
29,898.77
30,582.88
31,659.25
32,42.92
33,379.01
34,734.63
35,889.29
36,351.29
37,624.93
38,856.08
39,651.61
40,479.68
41,106.53
42,160.26
43,693.55
44,280.34
45,980.72
46,548.19
47,246.76
48,629.45
49,18.93
50,808.09
51,405.6
52,797.43
53,652.73
54,219.8
55,414.98
56,704.09
57,974.73
58,105.42
59,438.83
60,393.97
61,81.91
62,764.85
63,37.72
64,761.05
65,531.31
66,693.01
67,902.07
68,306.13
69,320.16
70,441.24
71,743.82
72,941.4
73,19.63
74,413.61
75,703.66
76,726.11
77,126.5
78,975.39
79,602.51
80,460.86
81,174.99
82,109.19
83,303.07
84,268.4
85,351.66
86,872.4
87,509.65
88,956.13
89,908.63
90,874.34
91,308.28
92,616.97
93,919.08
94,81.99
95,486.43
96,608.17
97,496.31
98,425.85
99,632.15
100,498.95
101,956.6
102,310.27
103,140.25
104,316.48
105,73.33
106,486.07
107,285.8
108,583.52
109,986.19
110,37.31
111,982.57
112,550.27
113,940.53
114,559.23
115,906.07
116,136.34
117,128.83
118,525.18
119,260.19
120,750.71
121,648.08
122,116.36
123,998.09
124,935.6
125,355.73
126,77.69
127,825.42
128,562.82
129,380.19
130,353.09
131,508.68
132,603.86
133,191.22
134,530.07
135,975.94
136,294.41
137,631.14
138,600.49
139,18.06
140,191.31
141,53.73
142,756.98
143,348.11
144,120.42
145,960.47
146,234.58
147,851.49
148,945.28
149,156.04
150,942.16
151,685.0
152,473.33
153,131.79
154,657.01
155,912.45
156,467.86
157,561.27
158,593.37
159,752.61
160,227.43
161,469.05
162,99.86
163,459.98
164,437.02
165,447.66
166,171.77
167,608.13
168,389.83
169,149.77
170,54.66
171,145.55
172,351.98
173,500.23
174,17.52
175,461.01
176,277.48
177,179.43
178,918.37
179,148.27
180,349.17
181,200.32
182,396.09
183,967.45
184,506.86
185,714.17
186,945.86
187,962.33
188,758.91
189,136.98
190,355.9
191,878.39
192,580.87
193,848.41
194,600.21
195,333.59
196,16.22
197,867.23
198,946.98
199,600.24
200,491.8
201,543.26
202,519.06
203,677.05
204,372.87
205,634.87
206,84.88
207,150.89
208,875.41
209,511.27
210,767.71
211,149.3
212,89.94
213,453.22
214,582.07
215,289.74
216,837.4
217,340.63
218,262.46
219,484.82
220,824.74
221,569.64
222,68.3
223,870.1
224,191.55
225,999.46
226,747.48
227,307.51
228,277.07
229,947.43
230,693.7
231,559.76
232,419.37
233,815.11
234,483.97
235,891.18
236,87.52
237,580.15
238,536.1
239,545.46
240,493.33
241,624.71
242,399.64
243,746.17
244,243.49
245,696.14
246,920.47
247,48.78
248,185.79
249,815.84
250,284.29
251,642.38
252,556.4
253,460.29
254,76.5
255,51.43
256,189.36
257,515.26
258,415.67
259,700.25
260,548.21
261,296.17
262,832.81
263,512.03
264,492.25
265,468.27
266,28.28
267,640.39
268,618.84
269,669.7
270,827.45
271,448.78
272,568.23
273,359.05
274,36.93
275,866.99
276,571.48
277,789.2
278,915.24
279,103.67
280,268.6
281,955.44
282,572.21
283,624.41
284,920.86
285,110.33
286,841.23
287,87.46
288,900.72
289,200.71
290,430.42
291,282.03
292,507.52
293,591.53
294,162.83
295,390.54
296,404.87
297,765.07
298,355.42
299,133.14
300,843.24
301,277.88
302,631.74
303,869.6
304,143.83
305,34.55
306,351.38
307,415.09
308,740.44
309,676.4
310,221.14
311,329.34
312,463.0
313,413.68
314,540.99
315,968.02
316,588.61
317,648.91
318,615.68
319,223.67
320,856.23
321,408.15
322,729.1
323,992.32
324,751.22
325,137.92
326,227.57
327,983.83
328,376.74
329,773.54
330,110.35
331,319.11
332,41.46
333,897.5
334,727.35
335,432.79
336,585.53
337,985.0
338,722.23
339,35.71
340,66.03
341,793.28
342,262.0
343,941.93
344,568.72
345,483.29
346,575.74
347,538.94
348,258.93
349,201.48
350,297.3
351,153.77
352,467.81
353,482.09
354,568.56
355,520.13
356,93.95
357,976.84
358,758.28
359,500.58
360,550.99
361,38.21
362,293.26
363,357.47
364,596.55
365,111.38
366,773.5
367,994.3
368,242.42
369,730.02
370,550.56
371,473.15
372,409.36
373,506.29
374,134.02
375,421.27
376,278.63
377,466.22
378,562.54
379,206.76
380,378.82
381,660.91
382,644.08
383,433.78
384,647.0
385,16.86
386,473.52
387,226.39
388,520.6
389,65.84
390,161.18
391,750.17
392,606.3
393,88.34
394,570.9
395,164.17
396,291.87
397,982.07
398,999.89
399,305.01
400,519.66
401,514.27
402,26.49
403,187.38
404,290.4
405,107.32
406,818.23
407,725.72
408,910.3
409,531.45
410,946.43
411,866.09
412,702.94
413,452.56
414,679.36
415,654.66
416,484.44
417,918.3
418,34.21
419,620.38
420,865.48
421,331.05
422,183.61
423,49.27
424,181.51
425,873.69
426,424.83
427,935.84
428,571.71
429,547.4
430,757.46
431,588.07
432,499.58
433,587.34
434,124.21
435,455.24
436,737.7
437,759.74
438,531.33
439,970.24
440,106.02
441,821.89
442,865.21
443,394.63
444,93.83
445,532.67
446,537.67
447,891.92
448,996.71
449,114.16
450,299.98
451,21.94
452,906.76
453,488.9
454,682.37
455,208.1
456,539.02
457,946.5
458,166.08
459,854.81
460,682.84
461,350.64
462,786.31
463,728.33
464,731.05
465,301.31
466,127.4
467,716.35
468,96.19
469,209.6
470,766.3
471,244.27
472,741.86
473,851.63
474,571.89
475,624.15
476,697.8
477,183.84
478,403.84
479,679.69
480,406.11
481,86.26
482,695.85
483,872.05
484,145.65
485,647.92
486,223.62
487,703.72
488,357.59
489,517.17
490,37.4
491,954.54
492,573.92
493,274.97
494,842.41
495,598.7
496,564.3
497,599.39
498,702.62
499,263.09
500,137.73
501,841.12
502,671.33
503,71.49
504,216.22
505,552.26
506,891.99
507,447.59
508,627.35
509,466.6
510,103.94
511,771.04
512,891.23
513,703.13
514,571.02
515,803.54
516,38.58
517,691.18
518,43.93
519,213.54
520,321.42
521,215.23
522,856.11
523,654.48
524,361.57
