id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews
5363954,3 Bedroom Apartment - Greenwich Vlg,16263081128,unconfirmed,Matt,Manhattan,Greenwich Village,40.72966,-73.99787,United States,US,1,strict,Entire home/apt,2014,$861 ,$172 ,4,1
49661728,Private Room & Private Bathroom in NYC Brownstone,20428615744,verified,Veronica,Brooklyn,Bedford-Stuyvesant,40.69087,-73.92952,United States,US,0,flexible,Private room,2005,$623 ,$125 ,4,55
53982923,Bright room and private terrace with a view,31677125702,verified,Fabie,Brooklyn,Bushwick,40.69374,-73.92645,United States,US,1,flexible,Private room,2012,$322 ,$64 ,2,8
9808864,"Bright Luxury Studio, Central Loc.",39894690915,unconfirmed,Sarah,Manhattan,Midtown,40.74513,-73.98475,United States,US,0,moderate,Entire home/apt,2022,"$1,008 ",$202 ,366,0
25752108,Private Loft Room w/Bathroom,38070683325,unconfirmed,Cha,Brooklyn,Bedford-Stuyvesant,40.68623,-73.92231,United States,US,0,moderate,Private room,2012,$271 ,$54 ,1,9
52003480,"Artsy, Brooklyn Apt minutes away from Manhattan.",60518353016,verified,Lucerne,Brooklyn,Bedford-Stuyvesant,40.68503,-73.94093,United States,US,0,flexible,Entire home/apt,2012,"$1,074 ",$215 ,28,4
22851981,Cute inexpensive place for a short stay in Queens,22881329218,unconfirmed,Mihika,Queens,Elmhurst,40.74461,-73.87334,United States,US,0,flexible,Shared room,2009,$159 ,$32 ,1,1
27757510,Beautiful Brooklyn room close to Manhattan!,63666271419,unconfirmed,Filipe,Brooklyn,Bedford-Stuyvesant,40.69653,-73.94213,United States,US,1,strict,Private room,2008,"$1,182 ",$236 ,2,0
32024027,Brand NEW STUDIO ~ Prime Location ~ W&D in unit ~,26080012293,unconfirmed,Jt,Manhattan,Upper East Side,40.77178,-73.958,United States,US,0,moderate,Entire home/apt,2019,$489 ,$98 ,30,3
18460644,Astoria- Boho style bedroom with skylight,3863472588,unconfirmed,Karina,Queens,Ditmars Steinway,40.77376,-73.90484,United States,US,1,strict,Private room,2007,$92 ,$18 ,2,17
52895996,Private Room in Spacious Apartment with Patio!,9843026703,verified,Travis,Brooklyn,Boerum Hill,40.68503,-73.98232,United States,US,0,flexible,Private room,2007,$510 ,$102 ,2,31
29752417,PERFECT ROOM IN THE HEART OF THE UPPER WEST SIDE!,24136906281,unconfirmed,Peter,Manhattan,Upper West Side,40.79766,-73.97192,United States,US,0,strict,Private room,2018,"$1,044 ",$209 ,9,24
29754626,"Entire Villa-4 Bedroom - 4,000 sq. ft Experience",16536101826,unconfirmed,Peter,Queens,Ditmars Steinway,40.77433,-73.89513,United States,US,0,moderate,Entire home/apt,2020,$360 ,$72 ,3,84
32202420,An Oasis in the Big Apple 2,83755660784,unconfirmed,Paul,Queens,Woodside,40.7484,-73.89892,United States,US,0,strict,Entire home/apt,2021,$841 ,$168 ,30,68
52469068,Beautiful Bed Stuy Garden Apartment,73772195743,verified,Malika,Brooklyn,Bedford-Stuyvesant,40.68861,-73.92941,United States,US,1,strict,Entire home/apt,2021,$942 ,$188 ,4,44
27169862,Charming Authentic NYC Home 12 min to Manhattan,95254594502,unconfirmed,Rob,Queens,Astoria,40.75909,-73.92227,United States,US,1,flexible,Private room,2005,$52 ,$10 ,1,0
6282429,Private Spacious Room with bathroom,86321615818,verified,Leon,Brooklyn,Bedford-Stuyvesant,40.68398,-73.94101,United States,US,0,strict,Private room,2007,$637 ,$127 ,4,27
55214552,Cute & Comfy 1 bedroom apt (Downtown NYC),7526761049,verified,Elle,Manhattan,Chinatown,40.71409,-73.99575,United States,US,0,flexible,Entire home/apt,2007,$619 ,$124 ,3,9
19470248,Captain's Cabin 001/Apmnt like,68866710953,unconfirmed,Simranjeet,Staten Island,Concord,40.60531,-74.08893,United States,US,0,flexible,Private room,2010,$503 ,$101 ,4,16
14310661,Williamsburg Bedroom,32253459960,verified,Leo,Brooklyn,Williamsburg,40.71112,-73.95382,United States,US,1,strict,Private room,2022,$247 ,$49 ,5,3
