payid,oid,amount,method_payment,payment_status,order_status
ea4da17f-2fb2-4ca8-8c24-671838241173,27b5c88d-75af-41be-9e0c-9af9167668e5,2276.96,Cash on Delivery,Pending,Cancelled
ff497e11-91de-4a09-84f6-4d907bae28ab,98780c62-4c2d-41be-b467-b0aabf5c712b,11.25,Cash on Delivery,Pending,Cancelled
1647770e-260f-4a03-8764-077cc2f28e7e,09c8c5e2-04f4-437b-af9c-4a56b6c51384,113.68,Cash on Delivery,Pending,Cancelled
6f84f875-5206-4a8a-b899-182ac09224e2,0873226c-245e-46b5-8bef-71d107352474,490.13,UPI,Failed,Cancelled
f7542235-2df6-4162-ab0a-c2af4d30e1dd,87330426-24cd-4c76-b083-339fcbe59615,2743.1,Debit Card,Pending,Placed
455cdd15-0a58-4098-a72d-6329f14e1058,c4109a67-93ba-4993-8323-2d93a80b32a9,1708.04,PayPal,Pending,Shipped
11388aef-db15-4658-8ab3-9bd6e7a6f780,f3bbfbf6-4d01-42c1-a59c-33c954037339,1078.25,UPI,Pending,Cancelled
d4a0c998-5a57-48ca-97ae-a771ff9eabd4,a431cc4a-64e6-4f5c-868c-d91759911411,3019.85,Cash on Delivery,Paid,Placed
6ca02ac7-ff9d-4784-b539-1196aab51d13,1f7ccf2d-40ab-4876-81ab-9cbe860d9d05,318.6,PayPal,Failed,Cancelled
82747f11-c705-4175-a1f8-1a29c8a37dce,d416dd39-667c-4a3a-920f-311999e289ff,2560.7,Credit Card,Failed,Cancelled
7d8aee28-ef53-4a2a-9a12-bf78f3cc4acd,c281367a-ee3d-473c-b85a-0e822cef597b,563.48,Credit Card,Pending,Cancelled
33b3a9ae-9fd4-4f19-91d1-0986b4bd2ac2,b1dbb46c-9b56-4e78-8a32-49866a63e7c5,425.13,Credit Card,Paid,Placed
765985a4-50f2-4bcc-b6ae-4becc8b00f7d,03b97644-a28c-466b-a743-bb4a4df9ef79,1715.68,Cash on Delivery,Pending,Cancelled
4e4043f4-364c-4075-b004-4a7e60005c70,2b8851a0-3567-409d-af99-43fb0b5b77ba,3869.56,Debit Card,Failed,Cancelled
57021368-1eb9-4807-9117-41e6f0cf1c63,71a2e6c5-a015-43b9-b4e4-7daeea0ac683,1820.05,Cash on Delivery,Paid,Shipped
3dfd1f78-560a-4dc8-8824-3f7a4ee3015d,3757ac85-e5c4-4b54-8522-5dd225b9862b,1177.7,UPI,Failed,Shipped
7dfc7896-cfd0-45c4-9cc4-de2b4f05679c,614fab65-5e79-4aec-b08d-433f31cd4a91,3146.2,UPI,Paid,Cancelled
cea4de0a-5550-461a-b3c3-707efb9aeb86,1d4c64d3-27eb-4bf5-abe8-97bad7cd4428,1294.54,Credit Card,Pending,Cancelled
f1e519d9-deaa-402d-9f9a-daa0a2ad1b00,eaf4eaf5-8eb7-439b-81a0-38b77a10778d,368.72,PayPal,Pending,Cancelled
a5050a94-d9e9-49e8-a019-f7ad80e1dfd4,cd6af316-fda5-4960-9ec6-f387e050835a,644.88,Cash on Delivery,Failed,Placed
5ff839e2-10e0-4ab9-985c-f526dbd073c9,f6b1ca79-505e-4c0c-bc97-22cc464bb828,3119.05,UPI,Pending,Placed
14f3cd56-ddd8-47c1-907a-5d66e1e05431,8c6e4352-81fc-4081-8c1b-f32fd6b7cd6f,1431.93,Debit Card,Pending,Cancelled
455ef32a-4efe-41dc-8ebd-baaa988c3785,9f122861-20c2-42e8-acda-63bed425681d,1243.54,Cash on Delivery,Paid,Shipped
e5126bef-4909-4e8e-b95b-63c1e5f1d1e9,fc7a229a-d064-4f26-b3fc-4f2fe77e6468,2449.59,Credit Card,Failed,Cancelled
6bef58e3-f1e6-4073-b4ee-e99ea3a84a9b,6dbc32da-3003-45cc-b542-ab5c1191981e,56.25,UPI,Paid,Cancelled
51e57f56-4db6-498d-9d5a-bf9089ab663b,eda6ab49-2bae-4b95-8724-1b8ca907443a,311.45,Cash on Delivery,Pending,Shipped
c1928e46-9f47-41d1-bb5b-80f333fa499a,42c9727a-23f7-42e6-9c01-4bf1850f7552,4102.9,UPI,Pending,Cancelled
