pid,pname,category,price
0ca2f974-348b-44c6-ba7f-1b882cc8c491,Never Director,Home,569.24
85d7ebfc-0511-4c74-a39c-14f6c6d8eb25,Care Less,Home,11.25
93c7832a-c95e-40ad-8307-b12a4fc77bec,Quality What,Home,56.84
9feb0728-2ad2-40db-aa47-e509d31b01c6,Collection Oil,Electronics,490.13
4eb5ae81-4f65-4999-87c4-5651f067df83,Drug Contain,Home,548.62
df8ce54c-552f-4427-b486-1e64cda0f898,Stuff Drop,Home,854.02
828465c9-b6cf-49c6-a7dd-2c3b7568f912,Another Once,Home,215.65
7887be0f-4f11-4d83-aa5b-35d2571d0f78,Deal Figure,Sports,603.97
c4e7d6b4-499f-48a5-835c-ed5a895fd869,Movie Fund,Electronics,79.65
97992857-0797-40b1-8c91-79d3b2e0b77c,Force Matter,Sports,512.14
7a8c7997-f608-48fa-99a6-982f6c189964,Tell Property,Books,140.87
766c7471-9b8e-47b1-8686-2eb23397fa75,Million Direction,Books,425.13
10171e4a-165f-4522-af7e-a5030eae54aa,Nice Head,Electronics,857.84
49e861bb-77d6-4ac1-9106-3c2eb911b42d,Conference Man,Clothing,967.39
ac31f5c9-dbea-4a4e-b54e-d8baeae2b6e2,Ever Present,Electronics,364.01
2f5273f0-be92-4133-8ae7-b8c7c8e49df9,Identify Better,Clothing,588.85
8cf3670e-4ea3-4d14-977b-14c26199ad34,Carry Discuss,Electronics,786.55
adaaaa41-3d40-4447-8fd8-7e329038c744,Exactly Similar,Sports,647.27
fba2f1f2-b8df-49b5-b058-874049ba073f,Fund Listen,Home,184.36
2cf155aa-08ef-41c6-a0e1-3e42924caac6,Apply Media,Home,322.44
70741670-0f1a-4e10-8237-08f5c5229dc4,Positive Remain,Electronics,623.81
72be92a8-8810-4844-b255-2a9d721cc48c,Reflect Walk,Books,477.31
0126805b-f348-40ff-b14d-608cd49e49ae,Possible Law,Electronics,621.77
30f7f89d-4856-4c66-b60b-0f14ac9d16ff,Yourself Western,Sports,816.53
4941f9d5-814b-46bf-bc96-95237db92f11,Quality Safe,Home,311.45
3cd51099-a556-4087-9650-0410ca649717,Media Too,Home,820.58
4a305f7e-8397-465c-8939-3880c01dca79,Reduce Take,Home,579.16
01ab5c7e-176c-4863-ac56-f7d4a68daba2,Mission Everyone,Clothing,229.49
8da4d030-4eb1-4487-b985-17dccde7a1d3,Save War,Electronics,825.3
91261e86-9086-45c6-a826-ac21d6dc0bcf,Quite Production,Sports,649.02
5cd77caa-7e35-4373-aa09-95ba266060bb,Health Require,Books,60.97
12354beb-819b-4a45-b2c0-7d2e34c45834,Class Chair,Clothing,489.32
954ad64b-dce5-4850-ace9-477f41ebe52f,Early Where,Electronics,718.53
72f58321-2bae-45c4-b60a-b491bbc58619,Degree Have,Electronics,453.02
f9ff446d-25b2-485b-af96-c436e994da6f,Involve Not,Clothing,661.77
720115f8-818d-4238-9782-fc09ee27e7f9,Expert Maybe,Books,292.21
3e90b6f6-cbd0-4c92-b122-aa4ef779598c,Direction Star,Electronics,848.51
abd0b863-13f8-4a7b-a7c0-8250aa85224c,Food Style,Electronics,190.09
c4bbd08e-abb3-4426-9fe8-f5fa9e6ef2d3,Away Field,Clothing,278.47
6e15b4c5-c005-4003-90c9-d200cfd34124,Break Get,Clothing,705.76
fa7a2987-0329-40ca-8748-a9f9dde48c64,Produce Drop,Books,424.23
8758dd37-059c-4323-9dcb-91d07184ea2f,Sell Modern,Home,437.04
49875ea6-bd59-4e86-a6b3-929f152c3ff9,Certain Star,Sports,849.56
2607cbb0-9f86-41ee-a815-621bc24237b2,Star Save,Clothing,112.05
b11b5cd2-dd43-496b-9b96-f49cec3dc297,Long Choose,Books,248.03
f876c30f-4c1b-4a6b-bb0f-a3c43a58e22c,Into Space,Clothing,817.32
d9cb3f2b-d74c-4c52-b3ff-b5c9925a207d,Describe Movement,Books,463.67
e5ab3d83-48c5-43d6-bffa-e1c1951a39ac,Answer Instead,Clothing,141.08
db19f622-b8f7-45f6-9cf6-57ee58899662,Situation Personal,Home,899.11
c018d0f8-4ad1-441c-bf2d-317b77d67f2e,Team Scientist,Sports,772.17
ce4ffcb0-0eea-447e-adfe-0017ae79b53b,Old Night,Electronics,872.38
55a19fd0-a499-47b2-8869-c84f47633e2e,Short Perhaps,Sports,795.96
ccef635b-27d9-4e84-8c0f-f98c50a9f869,Almost Personal,Electronics,229.62
86682c0f-7764-4d0b-a692-af5b409eeb61,Forget Election,Electronics,844.22
9cdedc58-4559-424b-83e5-c29213408b66,Support Laugh,Clothing,791.36
67f37663-eadb-42ec-88b7-de55130f9f7c,Attention Half,Home,831.83
d5519c6e-81e5-47e7-9582-55c62800ce04,Plan Agency,Home,64.35
5eefd9c2-6669-4c1d-8fac-f1b5ddec4ff8,Recently Such,Clothing,856.73
fc1dbeac-1c70-479b-81a0-1f167c9d677d,Leave Decide,Books,226.9
25f14336-ffdd-442b-bdbe-4811a51f17df,Approach Admit,Home,356.67
de87c245-d31a-4dd5-bf5f-96119c47c615,Know Great,Electronics,89.56
fd04df6e-bd4f-4f23-92e4-f3ff49663d07,Pretty Country,Electronics,236.56
0f7817ce-85dd-4975-a1cd-881b984a73bc,Yet But,Home,761.16
403bef35-26e3-4c28-b844-c70f64d45985,Run Strong,Home,587.58
e6c595db-df59-4c2c-bab6-eff6a5889be4,Character Community,Home,907.13
ae108501-e2be-4192-9353-e3cb80608b74,Human West,Sports,273.03
a520e3b7-ffb7-464a-8274-6a4415534faa,Military Movement,Home,716.74
4d1fa795-5fe5-41fa-86e0-dfffa1831f0d,Station Live,Books,141.09
8450d001-ecd3-40b4-ae15-5932c38853a5,Threat Can,Sports,345.69
da0831c1-4829-44ff-8af5-559578eff7ca,Before Camera,Home,988.19
de3ce490-0f36-43d1-835d-f4cb8e1f2083,Goal Second,Clothing,589.17
23e8ee4b-3a82-43aa-a084-238bb9cbd562,Issue Them,Sports,428.17
72c69557-64f6-4a81-bc09-434bdec0861a,Officer Guy,Electronics,192.54
6537a106-1d00-48b7-85cc-9cafc39d1cd7,House Small,Books,858.95
ae9e2e5f-4e0e-44b5-9ece-6f554b40fd7e,Writer Fly,Electronics,889.2
5f916a45-3f2e-43cf-826a-440938f47ea0,Region Body,Books,120.64
e2a3b899-9da3-4a4d-9308-5b52863efe9f,Road Alone,Electronics,861.75
d812f1a7-729c-43e0-9477-3bcf041a833b,Drive Strategy,Home,192.01
03b02de6-3665-4678-9f05-41555d3a2dd6,Red Treatment,Home,653.18
