oid,cid,pid,quantity,discount,order_date
9d3acc52-f77d-42c3-aa15-96179ca4cd7f,1ba297a1-f201-41d3-a617-d4b15e485bc2,96725ae9-4ced-4615-a140-f2bb01f233a7,2,13.57,2024-07-21T20:29:42.755608
0ecfc9aa-d3a1-4690-aa3b-d70ebc2d09b0,f1f408b2-a2a4-4062-90fb-8fe6200cf1ff,d11568c5-b612-41ff-9d5f-850d7f08b3fc,2,7.37,2024-07-21T15:20:21.929575
5f68cd8d-75c0-4966-9ce4-87bff7839655,e782137b-0aac-4a96-a2ca-5181fa5d0f8d,3bdc7657-e0a4-47c3-8ef4-8d9a562da613,5,0.06,2024-07-21T06:25:29.091605
778162e0-5d9c-4c12-bd19-f765511547fa,42908cb5-5cab-493c-80bb-1413732a69a0,d061023d-e25e-4f8e-8548-3af8190972ae,3,5.3,2024-07-21T09:55:52.345474
c5daa118-425f-4cbf-86c2-75aa68621c1f,36221a30-3374-4b59-bf4a-6b97387d95b4,05b141a1-9952-460a-ad0a-5e6eaa950aea,1,15.31,2024-07-21T22:52:57.521288
09b74e0b-1d2a-4306-89c0-373fe411c71c,42908cb5-5cab-493c-80bb-1413732a69a0,48a778ba-c508-4c72-8aa5-be8442f6d107,2,4.53,2024-07-21T00:53:49.684618
6ff613ee-ee62-4651-93fb-93d765314b1b,92f0924c-c089-46bf-8350-0b440b532eb3,beb44c41-3fec-4ea9-ac9d-7f8462963691,3,11.14,2024-07-21T00:04:09.423814
b75a2af6-5982-43ae-8d66-3363721c45dc,8622c2d4-c970-44f6-ba22-4b835c16031d,5b0e2aad-aff3-4450-b03a-9b289142e8b5,3,14.31,2024-07-21T18:20:49.738005
bc335776-6ce9-4868-a11a-04858a81368d,24c420b5-80b7-4aeb-9dec-17f3d63ef2af,8e86b486-045f-496f-9990-2d66fd2b1c78,2,0.17,2024-07-21T00:59:51.733961
f3d21785-4f03-468c-a2ea-30c967d67a6b,b425611a-f226-44e8-a9c4-4fcdf9d0ef44,8c58ea87-b570-4a37-a1ad-488526f8d4ad,4,11.33,2024-07-21T00:46:17.152283
bf62ac25-19e1-4120-bc77-eacc154162f6,1e4d8c66-f6ba-4cf4-aa6a-67c8d3371b0c,b7f3a918-6206-4575-81d0-9168bcf8c67e,2,13.53,2024-07-21T20:40:09.611370
c980d9b4-037e-44b3-8b0d-62cbc30d7386,9771ccab-d7ba-49aa-986c-55a9d41b89d3,bdc42927-4bb7-40b0-b579-1a1b008fe1f3,3,15.34,2024-07-21T12:18:03.265018
90d16c98-acad-4f5a-8298-e98893b16f0a,a8a6f1fe-d244-4b7c-920b-995d4e36df97,731bdb4f-6e3c-4b0a-a8e5-60365f6f90b1,1,1.01,2024-07-21T11:57:48.814700
b6f346fe-acc3-4a14-980f-f27c3dc0faaf,aafdbd67-afe5-46c7-8248-5a7c6ebcb6e7,65b9f201-96b2-4b9b-9172-54fffb7654fd,4,4.11,2024-07-21T12:10:22.936776
a8a3e9f8-440f-49ce-9ddd-8792aa95e94f,9bdcf89b-d800-4f6d-9f2b-474c88980315,011ed7fb-73c9-4892-81b8-ba5100569f01,3,12.55,2024-07-21T14:58:58.689310
51e2db50-ef85-451d-b370-6c3b75f950db,a21878e9-3af7-4c90-979c-2da9dbed01e1,7847ea3d-0286-46ad-83c1-4ddf95e48cba,1,12.12,2024-07-21T13:23:49.048184
df02c64a-dc47-4b62-873b-cdde25fc5351,cb916d81-77c3-40f5-b48e-11f8850f8561,3bdc7657-e0a4-47c3-8ef4-8d9a562da613,1,6.82,2024-07-21T15:13:39.860845
1035a69c-f6b4-4510-b946-8f68f021bd0c,05cd5260-ae8b-4e75-9767-0e8c8004345f,8f683667-fb60-4ea0-80db-2e67da1a6da0,1,0.37,2024-07-21T02:46:14.224408
0e106025-cfd8-4704-9617-b4d6a4669445,e14902f1-b9f8-498f-a075-c4b1e9a30499,410dd5f3-ce48-48bb-8f46-ae34293da39b,2,3.76,2024-07-21T11:09:46.918824
b78be4cf-d3c2-4e8a-8e9e-19934102d47a,cc07793f-e6d0-418d-ad01-0c0a3c78283e,0b77a435-64e4-46ab-a36b-e0ce5cdf0681,5,5.0,2024-07-21T22:54:19.478549
b56c5009-4c3e-420a-a24c-fbbf7287fd9b,53d907e9-b432-4b54-8e19-f8fdf8a991d7,a95a4729-9dc3-44b1-89ee-960e2f31bea4,5,19.97,2024-07-21T04:16:04.857662
fa5b60dc-ac56-4bdc-8c6d-ef563467ed58,cfb0f88f-a150-4983-8341-ffcb27aa7ed9,d6d7ee9c-3a2f-42bb-ba31-4e7b8208f60c,4,9.25,2024-07-21T01:03:52.120060
23887ce3-0466-44e0-8ac3-c31a26c559a2,82087f49-d7e6-438c-a83d-a9103dfb5ed8,f2057b3d-c0ee-4093-8b31-d10bac3ceb97,2,19.94,2024-07-21T14:22:53.276784
45617c8f-0bea-4986-9802-fe6086eb4fe5,7d0a937d-7bb7-4c0c-b2de-03ab2d19c7c5,e3ff7ebc-e8f4-4341-9e6f-a6c1f5a195e1,5,13.27,2024-07-21T00:30:25.540977
680431db-8dfc-4daa-9753-cc06285d97ad,eb3f9ad6-f460-48cc-948a-66906556b6ea,37111c5a-f752-4b46-85f8-43e30af81499,4,10.89,2024-07-21T06:54:34.349416
7dd9503b-8c91-41a0-a385-5e4847ea29e4,3ce66328-9153-4312-a3fc-33e4b3044b50,3eefeb7d-2463-42a6-a44e-9220903ab458,3,19.74,2024-07-21T06:59:37.556559
3bdd010b-8a12-40f0-b134-8122c7e3b7c5,7fc801a7-eb8e-442e-9d4d-f07199e8e479,56aa28ff-b61b-4133-83d6-c007e2896269,4,19.18,2024-07-21T22:00:01.704774
a798fa9c-f6d4-4c69-83d7-e08eaa2aa333,10d7db6d-51aa-4164-8722-b054423767ed,f3c2cfa5-e0fd-4c24-a85d-a6eb1c77f290,3,13.79,2024-07-21T10:07:09.069533
4a9bf406-8991-4577-b066-d009cd0612b4,5ba5c05b-2d11-46df-8285-0329254f4651,0740df31-dc4d-4500-9480-fc41daac7bb9,5,13.42,2024-07-21T21:48:47.503248
55721c97-a32e-4ed9-8f18-c7f0b8db590a,d0126ef3-c2d3-42c0-ad83-0fae0e3fe55c,1baf2c1a-fd3c-4e65-a426-71eb453648ff,2,19.84,2024-07-21T04:42:01.798584
06daab67-863d-446d-a8a7-ce43e5ff328d,b9ca4fc4-f2a4-4170-bee9-0fabc4572fcb,d5a07539-360c-435c-9dfb-833de4a5773f,2,2.57,2024-07-21T16:46:11.011549
880bd302-296d-4972-bbf0-d2999020c658,6fb8c69a-2a76-48cb-8741-c9740d61d5b5,cec01b5a-fe15-416c-9c1b-3c5a9118a644,4,11.77,2024-07-21T06:10:17.348898
bd057361-b8c2-4c34-a83d-5a10d2badbf0,4747a367-f111-4121-8b2b-e8497dd7767e,97ce62af-f04e-430a-94fa-f48b9f831785,3,2.29,2024-07-21T18:20:15.051352
6bd4eac1-71c0-49bd-a1e3-2d29d86d24f0,3a724702-37a6-4616-87f5-4f65164fecc9,3a660fea-3f16-45bb-b124-8c9686ad8e0a,2,18.44,2024-07-21T05:52:59.879027
b0d25df6-0f67-4f41-8072-de5988e784f8,cc07793f-e6d0-418d-ad01-0c0a3c78283e,bfcbc3ef-be5f-4290-8119-efb4535e1b69,3,10.22,2024-07-21T13:28:08.841376
d7f3ba27-05bc-4b3a-adb3-45954cf14a0e,4502948a-e94b-48e7-b5e4-55633f2bdb8f,21760189-a049-4f0c-89b6-5b33ae3dcf0b,3,16.64,2024-07-21T02:12:18.335417
0deaa2bd-e243-43f6-a845-670d01b5113c,2fb88b3e-a0e5-4dc2-8964-0f6ac3308820,9cf39036-48cf-41e5-b173-1f770730d7c8,4,6.92,2024-07-21T16:21:23.323530
29e16c7e-d06e-4646-8412-0be1d8e4deb3,5e48a89d-2a1e-4465-9e0f-29980fc63313,82e2a6bb-6544-430d-97da-a569b205ba83,2,15.17,2024-07-21T06:20:34.636759
a3a619ab-3c49-46af-8c87-e9097c0ac9d3,d347fbeb-2407-4914-8897-4ca189da242f,f1df8e16-60dd-4ed1-b373-d53f34e4727f,3,8.94,2024-07-21T19:46:38.049274
387f2f1f-4185-482b-becb-2cf1a493d9fa,e782137b-0aac-4a96-a2ca-5181fa5d0f8d,c88f253c-2326-4b1c-9797-022fc578a014,5,15.48,2024-07-21T03:25:20.010858
783876cb-96d2-454e-b362-3bd90a6387e7,a16cfde9-a5de-4179-88ab-89b67c194072,1f88ecf0-7cb4-415d-bd3a-602ec3a23792,1,5.81,2024-07-21T05:05:56.356611
2b670e70-efdf-4ac6-98cb-76b1dcac5ce5,4f3ba29b-1d7a-4c4e-994f-85f1be976ea1,410b7eaf-9fd4-4224-bf5d-41e51c40f2ec,1,12.87,2024-07-21T01:28:19.781992
2dc9035e-f5a3-4784-b38a-aacaaa9a7298,f5ee98f8-f51c-41e8-a2ef-94f414ef5558,42cc4db7-b0dc-4129-95d3-41de7e390b73,4,4.18,2024-07-21T14:22:23.296198
1c48aae9-ab48-45f0-9d57-173d709e880c,c0473c0d-736b-45a1-8438-36d0f74ea925,eed02a4c-f946-43a0-9f1e-866e8e5ec3d6,4,14.55,2024-07-21T21:11:33.157086
37673be4-8c79-43dd-bfda-2001bedee37d,82022a49-ae4a-4c9d-8a20-f5645e865926,551c5d7e-2b0b-4c16-968e-d37bad21e262,5,15.8,2024-07-21T09:37:04.714764
3d0e9388-c8aa-4b52-a87a-238d558c12ab,6cd63fa7-4f81-48ea-9439-8a9b8e1ce40b,4f11e577-5fd6-43ce-9a65-90e3471fec86,4,1.13,2024-07-21T22:11:54.441880
b196ad63-344e-4246-9efe-135e9f937246,fe5d3b28-b80a-42a9-aad2-ec77a61bea3f,575a7fda-a1b1-4eb9-96c0-aa457dd8b113,1,6.64,2024-07-21T15:45:28.054445
d035dd36-e98c-4a33-9929-6bfa16a4a108,a16cfde9-a5de-4179-88ab-89b67c194072,0280b0cc-5554-445e-a6a1-b532e54fb053,5,19.07,2024-07-21T23:17:57.942376
36ca5a33-aa58-40d4-a979-1fa3f1d68dd9,dba6ef5d-6f5a-4ec0-a10e-49210a48bc78,b26160bd-727a-4818-96fc-f7b68af7ddb2,4,7.5,2024-07-21T05:12:50.146044
67034828-4c70-4377-993d-5f2bc5f77dc5,1184e5d5-d842-40ca-abdd-4bb243f52041,67f3f19c-1ed1-499e-9ac3-12825bb04ce1,2,5.06,2024-07-21T14:11:54.280651
9c92bc6a-e4f7-45b2-82fe-8b2d7d9698bd,f646b8f6-dd4f-43d7-be94-a52711b15e04,aa29eb97-69c9-4653-8a69-00b937489bfb,4,6.77,2024-07-21T00:34:26.104595
df7ab48c-47c0-4065-901b-fb8fe41c8679,eb3f9ad6-f460-48cc-948a-66906556b6ea,d8e3c74a-5506-4196-80d4-b607c9d5f34e,5,10.36,2024-07-21T01:40:39.500960
322f6bde-7aee-4417-996f-b90fe5594f20,2bcb47d4-7c5c-4395-9633-c038e33368de,54816743-7144-42e7-af1e-f74fea1d1116,3,2.03,2024-07-21T18:46:03.941169
8887b9c6-f559-4753-ac8e-63dc26e36c3a,d347fbeb-2407-4914-8897-4ca189da242f,5764ef14-1a80-4afe-9e65-94ab4091816d,5,6.39,2024-07-21T21:21:13.946625
4895ae68-fd32-4988-b891-edc9742be17b,bf182a74-ea08-4646-8f24-dd70985ab001,95dc9f0a-553d-42d1-acda-2ca313656041,2,18.97,2024-07-21T02:57:11.305061
57711bf3-3011-4ed1-829f-c351f841661b,a3472649-9e36-4a70-9160-6bbdf180fbc5,85afacee-6c34-42ee-8514-e9f3fec4b4d8,3,16.24,2024-07-21T04:21:34.292181
7b60a367-1df5-4890-b65a-002c3b98d258,e61d855c-36ab-446a-909d-fb8fc74a9755,96cf1879-ef97-4089-bd5f-f4c6944a3b8c,5,7.74,2024-07-21T16:39:31.731881
8a8ccfbc-87a5-473c-a326-4a60773a6e9a,e782137b-0aac-4a96-a2ca-5181fa5d0f8d,bfd1673c-e836-4539-8afb-ad9c167178ec,5,6.94,2024-07-21T10:31:40.954792
cb90d540-2c54-4963-8fb4-6d2c9e99667c,6008d3f8-76be-47db-8049-1f411d5bbb87,aa98fc43-566c-4d9a-a6f6-ede6e825941b,1,8.11,2024-07-21T10:41:23.809252
fd0f18c2-3e45-46c4-b373-ad6aae16d344,2f4d4e86-58fa-4fdc-8cd0-c4b93e849f82,8afd470e-89fa-4301-8074-770abc4dbfbc,2,18.18,2024-07-21T23:51:34.504488
