payid,oid,amount,method_payment,provider,payment_status,order_status
395328f9-3859-457f-8a27-28f21996878b,658ea0ed-f261-46c0-bec2-ec22c21da7aa,2304.8,Debit Card,PayPal,Failed,Shipped
80543cb4-329c-4c1a-a538-d1aaf13bbf2e,a5dcf7ae-57ce-4dbc-b006-913a64e6a99a,401.93,Debit Card,Square,Failed,Placed
1a19232a-8d21-4405-a1cf-ba7a5e7810f8,f9ad9766-dbd9-4702-bb92-0a96e7b33bf3,582.9,UPI,Bank,Pending,Placed
1744ba32-0961-40b1-975e-1ca6984b2a20,8a08b714-0125-4282-84cb-778394c50790,843.5,Cash on Delivery,Square,Paid,Shipped
5420ee1d-58a6-4792-b8c8-c840f7fbf87c,7e4e409a-83fe-4fec-a08e-154b11e5f7c3,1893.75,Credit Card,Square,Failed,Cancelled
34304a62-1b83-4d03-8a90-1913c2a071f5,f175eccb-7023-4a3b-b410-62e2de9b905c,3625.9,Debit Card,Stripe,Paid,Shipped
ec4ae918-45b6-4d4c-a515-4d1b7e4280a5,3fc772c1-2891-4719-bab2-871ce1d2c610,142.43,UPI,PayPal,Pending,Cancelled
c6ab3456-6ca4-45a0-913b-9160a1543d9d,6b12c2e9-febd-4427-bd20-979a8152ff83,696.02,Credit Card,Square,Failed,Placed
749aa5db-d4b1-4dd3-a439-ed7bf3646bb8,b771b1c7-28cd-4ad5-8b0a-d48a8ba2184d,1459.79,Debit Card,PayPal,Failed,Cancelled
4e9f37a7-eaaf-4b6f-b830-64c4ed1f44b5,8ca6a252-df90-4a6b-88b4-9139c1756803,2574.15,Debit Card,PayPal,Paid,Placed
6f5aa692-5121-4970-8dd3-3082763cf9c9,d0e3abfa-425a-4a14-a57b-7c34bd257c79,1018.1,UPI,Square,Pending,Cancelled
1676e1b8-5f9f-40a5-8cfd-dd799612488e,f91ad30f-af98-4331-ad0f-1013ccba45ac,1984.62,UPI,Stripe,Pending,Placed
926e3c01-889f-49ad-8047-83f13501c589,1d4c8272-b8cb-476d-aeff-22d8b87f9340,268.32,UPI,Square,Paid,Cancelled
8ed086bc-92a0-4e45-8f9d-52fb74e9c123,24413cce-702e-4d72-9287-adfeff326268,1975.23,UPI,PayPal,Failed,Shipped
b3b43f80-edc4-4573-a8e8-b677b878e717,a064e8d9-0b2f-4ee8-97e5-15ffe22422d9,1456.93,UPI,Square,Pending,Cancelled
bfec7fe9-0318-4c36-a71d-53220988c0ad,7edc2c06-9769-483c-abbd-aaab24976784,520.4,Credit Card,Bank,Pending,Placed
79ce02c5-907e-459a-9c4b-f3c993ceacb1,8c9afb25-ab24-455d-b0de-e69ee5ab1b7f,301.88,Credit Card,Stripe,Pending,Cancelled
04f55e9a-639f-477f-aa6a-cef438106945,a29dcb4c-276a-418d-9aec-e4b4a1b82f98,1488.13,Credit Card,PayPal,Failed,Cancelled
bcdb576a-0633-4009-932c-f9cd61df3f12,30d38e45-dbd5-460d-b67a-5c98b319a638,1394.8,PayPal,Stripe,Paid,Placed
fcb45577-b790-4bf7-8756-213b64dd5deb,8eab1cec-98df-4bcc-95ff-f9699e670c21,1235.85,UPI,Stripe,Failed,Shipped
6622ed78-c7d5-4b70-bc7b-ed2d5b8caccd,a49fd260-b08b-4a35-a3a3-1c9cc0eca0a3,2936.2,Credit Card,Stripe,Paid,Cancelled
027f53de-3be5-4fb2-ba60-cfc2352255f2,a6c80eb5-687d-4394-af29-ceb5e36c228f,743.93,Credit Card,PayPal,Pending,Shipped
28ff25f3-f253-49e8-9ab3-5f2582d48d2f,80f0dcc4-7801-4fdd-90d6-77607e847345,1839.16,PayPal,PayPal,Failed,Cancelled
8b8b3958-a322-46d8-a8df-01e1af3f3848,d6c9a7b8-822b-4ab0-8804-c654af859acb,1909.89,Credit Card,Square,Pending,Cancelled
c3bc5e76-ac06-454c-9187-2b9ed49e371e,9c146068-ae3d-41e8-8fd9-8272790dc335,470.8,Credit Card,Bank,Failed,Placed
fab2271a-bc38-4670-8aa5-8d9c09d5a6b2,06166f78-6dae-443d-bb9e-bb03c84d338f,2064.23,Credit Card,Bank,Paid,Cancelled
f153cd0e-0cf1-4f62-a9ad-23337ea95511,a9b8d308-b6bb-4407-8b76-36f7859f6d39,210.77,PayPal,PayPal,Pending,Cancelled
bd90813d-0f77-446f-8db4-7aebdb7139c3,aeadeec0-28ad-441b-b31a-5282606a37ad,1898.36,Debit Card,Bank,Pending,Placed
55555d4a-4405-4402-913c-83ee74367345,13f247bd-88a6-4b24-8025-586fd386d3e9,2868.86,UPI,Square,Failed,Cancelled
b66c2e8d-da91-4031-9163-75c4d929aea1,e6d9f07e-9305-4ece-b933-e4b4e91aede1,1974.14,Credit Card,Stripe,Pending,Placed
9b6dd9ac-e8f8-4669-b26a-735c3875bd5f,c83fe26a-7f55-4276-9ab3-08dbdd76daea,380.17,PayPal,Stripe,Paid,Cancelled
7fe95606-3b18-4361-a0f0-bed8089e7641,726ad6a7-643d-4072-a72e-72ba2d49c683,4546.6,Debit Card,Square,Paid,Cancelled
b024f49c-10d2-450d-9326-0cf3cd6dfccd,7f64ab26-0c2a-4c09-b33b-7b5b42f75b3a,3466.98,PayPal,Stripe,Failed,Placed
ff0a6778-8f7d-47aa-a85a-9d1941d0a986,6e2e6f7a-dbe9-409a-ac99-09e886d4c16a,1642.82,UPI,PayPal,Pending,Shipped
c51b2679-be0a-49be-b1d6-3e3c870c7dad,10291a77-b8f4-462f-bbfe-e3aeb45f48ca,357.11,Debit Card,Bank,Paid,Shipped
1bac8136-0a01-4fed-8aa8-244c9bdfb636,af40a31e-c63c-46b0-aea7-8cb72d06a263,2583.18,UPI,Stripe,Pending,Shipped
972023df-76a4-4126-bbb5-5032c027896e,558a6abc-451f-48a8-8a61-a0b426ff8ffd,35.65,Credit Card,Stripe,Pending,Placed
d29d3bab-8dab-46f6-a65f-6a939b57ea10,3ca2d2be-d0bb-44f4-8fee-34bc10593faa,431.72,PayPal,Square,Failed,Cancelled
4a513731-ae99-4758-9502-6ff81d42c83b,622e82ac-05c7-45c1-ad1c-864b36e3469c,2626.29,Debit Card,PayPal,Paid,Cancelled
135b76d3-d594-4a5f-903f-898515680013,25c54eeb-e27a-4ffa-ab5f-2ed3d921a5db,243.2,Debit Card,Square,Pending,Shipped
f5ec4310-82b8-460a-bd66-a9322e5bbb7b,038ac4a7-7e1e-4e95-863b-f82799bee4e5,244.77,Cash on Delivery,Bank,Pending,Cancelled
294b151e-401c-43a3-9ecf-a394fc136107,be3631fa-84e8-48a2-82a2-078be446c69a,2468.66,UPI,Bank,Failed,Shipped
37eab203-9436-4540-823e-690a06ae4a8c,49112c1c-0a97-4758-814b-d813d2fbe2d5,500.4,Debit Card,Square,Paid,Placed
12c2ceb0-a431-44c9-8e23-d465659a4d88,ec8a471a-8b05-4714-86be-42755dc5b809,223.97,Credit Card,PayPal,Failed,Cancelled
a20325c0-5bd7-4eda-ae07-6a42aca5af77,7991a0be-9fc0-4613-85d6-c2cff4077dd5,3020.43,Credit Card,Square,Paid,Shipped
6e58fb1d-9db1-4502-84a5-2d4086a9f747,1d7c2e76-ac4c-4c49-a8ef-cff0be29de3e,879.23,Credit Card,Stripe,Failed,Placed
fdc9fc22-9ab1-4261-b52b-8219840459ef,ca2faa9d-91e3-4a11-8f1d-550ea4399865,515.43,PayPal,PayPal,Failed,Placed
687609f6-dd48-47bf-a2ac-2c0c4f064167,0129ee4e-b032-4086-8d1a-da9ea0291c0e,1018.08,UPI,Stripe,Paid,Placed
e91675c9-6683-4415-9b55-3d4de168efba,3d77050b-b9bb-4b82-b208-c6526e351b1f,120.47,UPI,Bank,Failed,Cancelled
8f80b166-f96c-439b-85a4-abc36f5d4875,9e43d229-0a71-478f-96b7-e118081fa47f,2690.81,Cash on Delivery,Bank,Failed,Cancelled
5432f4ac-8be9-4473-b709-295d0beb3964,10236b3c-e56d-4528-bead-0b2af1594690,1557.86,Credit Card,Square,Paid,Shipped
a3110a8d-4352-4272-ad54-5213e2426fa3,b8cf8c22-bfed-44a2-bb08-6c5d19cbe54c,906.22,Credit Card,PayPal,Failed,Placed
206a2e8a-8577-4b76-8117-74fdd208da3f,f4ce4d57-f0d7-4721-99ef-8f212d2bb380,461.08,Debit Card,Square,Paid,Cancelled
34e88264-18e9-47eb-86cc-7cfa90357664,c7b7cc67-1eb4-4067-9439-35d54321e2e7,1213.44,PayPal,Square,Pending,Cancelled
21dd55eb-1d4e-4295-8692-753a88b053dd,ddea02e7-26e0-4f28-bcdc-6db7cc7047c9,3149.78,UPI,PayPal,Paid,Cancelled
a4822a1a-cb3a-4146-a3a8-442448b2af26,541d01fc-3515-432a-9fff-a5791e093177,865.78,Cash on Delivery,Bank,Pending,Shipped
c091f283-8ea2-4218-8f3d-d42ba002e475,6292fca5-67ef-43e8-ae73-7d9cacfd727e,2891.54,Debit Card,Bank,Pending,Cancelled
9ba38893-b75e-454b-8137-90526e157b05,361cbaab-cae9-4a53-b3e8-5a50dfc6a74a,721.57,Cash on Delivery,Square,Pending,Shipped
4f2b7cbc-1c19-41a5-93bf-75944340a0d8,f7c4b198-ae90-43b8-85dc-46780ed6e88b,1525.12,Debit Card,Bank,Failed,Shipped
ea661dc0-1fdf-4690-afac-eda2418ddb09,2ee24cc0-e1a1-48ed-b28d-93fa01f44988,1791.85,Debit Card,Bank,Failed,Shipped
