payid,oid,amount,method_payment,payment_status,order_status
3ccb1aa9-856d-41c5-89a8-07ccbd6eef45,6c5dcaf2-896a-434e-b75d-e587594f91b4,686.47,PayPal,Pending,Cancelled
5e3b9f85-c66e-4f67-8733-e2d1fb84968e,7a560551-58c0-4098-af80-06e33d82fd6a,1677.18,Debit Card,Failed,Placed
cbd8ec24-4f12-4782-a526-208d8b4f55a8,afbbbc6b-fb59-4822-a80f-29a61f08f724,1977.02,PayPal,Pending,Placed
99c325f8-e16d-4389-937a-a7eae5bc6749,42686370-7d11-48f9-b997-c3d67ae53f42,4823.5,UPI,Pending,Placed
8dba7f5a-2984-4c1d-8439-a35b3c97b23b,57d070c9-7177-42d4-b19d-900d03d53b40,3591.8,PayPal,Paid,Cancelled
389423ab-5d2b-4ede-9b52-27ff31a1fad1,95acdbef-c812-4f76-b442-e27e8308c1bc,1175.76,PayPal,Pending,Cancelled
b37214db-3c47-44a8-90e1-e3115cc2ad51,ab9fbe40-8b7c-4500-ae41-d8bbe1fd5f88,1555.34,Cash on Delivery,Paid,Shipped
76d94d0d-8186-48d9-be45-e984d6e5f3a4,df993826-0f0f-4887-915a-b8d5ba4ac73b,163.62,Cash on Delivery,Pending,Shipped
818008b8-b82d-46cf-820c-49cf26f126ac,bef3ce2b-8ee8-40a8-92b1-e2423d70ea04,331.82,Cash on Delivery,Pending,Shipped
5a35ae8f-e608-4f6f-8346-d816a3315cd8,adc725cb-fae6-4f4b-ab2f-c3bc9f0b7435,3928.7,Cash on Delivery,Paid,Placed
3c577328-4adc-4764-9ede-8f19391a3c5e,c44deedb-b234-461d-a817-d97784c57936,438.33,PayPal,Failed,Shipped
d8a73df9-ac3f-4d68-a753-f164e59139a0,81c2bf26-12f7-4b33-b5cd-f5efb7642f0d,616.33,PayPal,Failed,Shipped
bced9c37-d654-455e-b3c7-09fe6c3e232a,b0d32c54-f361-43d8-bc34-8d3852d0cbc5,796.13,Credit Card,Pending,Cancelled
