pid,pname,category,price,brand,supplier
c9f2eada-d089-4e68-a248-662694d6a369,Meeting Woman,Books,908.31,Mills-Mccarty,"Hernandez, Ortiz and Ortiz"
39752879-dbb9-49f9-a8ed-049c59172289,Quite Now,Books,845.51,Lewis-Gibson,Vazquez Inc
fe584bd7-c0e0-47bb-a465-83efc58ca43b,Wish Maintain,Electronics,384.67,Maynard LLC,Mckinney PLC
32f7fa6d-1246-4cbf-9c6e-8f0433fccbec,Street Product,Clothing,46.13,"Lewis, Price and Davis","Kramer, Ramirez and Palmer"
eed02a4c-f946-43a0-9f1e-866e8e5ec3d6,With Plan,Clothing,302.8,Maddox-Mckinney,"Woodward, Brown and Mercado"
dad8d88a-bb03-4e2c-ba46-b5ff27c81eca,Off With,Clothing,249.62,"Miller, Haney and Clements",Garner-Morrison
80b0bd9f-dd75-433d-8082-e40530cc5d5d,Subject Wait,Sports,603.28,Little LLC,Santana Inc
4e53eec5-8037-45d1-b2f5-1f1b4b94562f,International Magazine,Sports,216.03,"Kane, Morgan and Andrews",Griffin-Lucas
4c15f63b-de8f-4071-8df0-b69f66d58ddf,Near Bit,Electronics,902.26,"Allen, Allen and Durham","May, Bean and Smith"
166530d3-0e20-4797-9407-dba0106cb6ad,Interesting Involve,Electronics,974.09,Holmes-Oconnell,Barnes and Sons
7009ca07-ef30-45d2-a1d8-58eb0d49e1c6,Condition Discuss,Electronics,519.18,Fowler Ltd,"Hernandez, Baker and Chambers"
bfcbc3ef-be5f-4290-8119-efb4535e1b69,Describe Director,Books,88.21,Christensen-Johnson,Williams PLC
17cb3a97-f35c-4b05-af1c-eed913756379,Thought Method,Clothing,982.4,Anderson-Williams,Wall Ltd
320981d4-06f4-4094-9e99-e61e4f72fc7c,Performance Explain,Electronics,126.53,"Mendez, Mendoza and Garcia","Jones, Smith and Nelson"
dafdd77b-befe-4fb8-8e8a-237576c92559,Both Ready,Home,257.42,Young Ltd,"Hernandez, Huffman and Smith"
3d1a1ee2-8787-474a-9a2d-05ac0dfaf585,Fly She,Clothing,573.7,"Martin, Payne and Morris","White, Smith and Cook"
48a778ba-c508-4c72-8aa5-be8442f6d107,Officer Down,Electronics,42.92,Smith-Adams,"Perry, Johnson and Dudley"
4e3ffeaa-fb64-4974-b794-6d1c3d7eb2fe,Performance Others,Home,413.63,"Leonard, Johnson and Richards",Elliott-Mcmahon
