pid,pname,category,price
d763cc70-2694-4d18-bc5c-704fff2fd6e1,Human Risk,Books,686.47
3282497f-7742-40b6-8227-04d7119dac18,Possible Everyone,Home,838.59
4fcb1755-70f4-40c7-8f7e-06bbb4bb874b,Whom Develop,Electronics,988.51
f410289d-71a5-454f-8f5f-3259d6261832,Successful Financial,Electronics,964.7
e8c6e64a-0106-450c-83ea-18b0026bc18d,Professional Drop,Home,718.36
6e7b8a0f-fc20-4524-84bb-77eb9e789843,Guess Red,Home,391.92
5e8e46f2-4ccd-45b0-9928-4054aa7732ff,Nice Travel,Sports,777.67
2acb2115-28dc-4948-b0b9-bb75a4ec9a4d,Right Ground,Electronics,54.54
c7404311-0476-4900-9761-011775d79bfa,Fund Off,Books,165.91
827b9e77-d381-4e93-851b-5349454a7a60,Anything Impact,Clothing,785.74
bcf7e3e3-c703-4630-8c1f-fd72f0ec84f5,Report Couple,Sports,438.33
f0a06891-9b05-40e4-a458-060812a45f11,Tree Family,Clothing,616.33
9ea6ba5e-9e98-4ac8-bbd1-11d432b630e5,Discover Low,Clothing,796.13
43c84c70-4150-487a-aab2-fa728ef2cc1d,Order Require,Electronics,333.81
e31c4590-95c0-4369-9cc0-7eb7407b6ef5,Recognize Current,Books,154.83
65ba0cfa-62cc-4300-b88a-1531a703f26b,Growth Design,Clothing,138.16
e360309f-8cc7-4ffc-8e03-d245647d9310,Adult Knowledge,Clothing,840.2
4ff59e2a-112a-45a3-8e1e-4a4b4765711a,Red Reason,Books,806.23
5b3b2927-14a7-4e2b-bffd-e8f1e19d72d9,Learn Strategy,Sports,969.42
471f541d-a944-4d1f-92e9-006c90d91d08,Create Single,Books,65.58
cbd81d0f-b549-4d3b-80f4-01b6f72bf17d,This Catch,Books,75.0
849b3575-7b15-4570-9f45-7b489d4e1721,Citizen Growth,Books,558.88
5106ebcb-297c-4d87-84ff-9f5d070b44cd,Chair Little,Home,680.46
6b19e32c-e123-45bb-b60c-cb1a1fb64a5f,Less Around,Home,754.82
55660692-b2f2-4565-8c1f-380e765513bf,Summer Student,Electronics,639.22
527ed7aa-dd35-472d-8ddd-b888a31f08da,Hit Three,Clothing,374.24
5ab37790-ca00-480f-bf25-db389141d6d6,Local Which,Home,301.87
bd318f13-5f93-4610-8c2b-951942be58f7,Station Eat,Clothing,549.64
b46463cc-f168-4e05-8983-6b32ad4a44eb,Size Mrs,Home,82.86
bc5b622a-8025-4105-b21f-30d54ed68314,Leg Administration,Clothing,153.54
12fb5fee-770a-4142-bb9d-0f119e8c4839,Activity Ground,Clothing,488.05
150987db-d275-44ff-b9cb-2354f2e373d3,Consumer Successful,Sports,484.8
41f7e0f3-4634-4451-8530-b24a36c2fb1b,Expert High,Electronics,570.48
5985835e-92d8-469d-81db-3825ebd1cd1f,Attorney Scene,Books,996.74
9c76c2d0-7450-49fe-8738-a1617c164233,Myself Sing,Sports,261.79
7eac3399-4275-4f7f-aa05-8503a4857987,White Specific,Clothing,717.29
d42b9dc0-28d3-487d-abd1-5349764e2a5f,Network Resource,Books,292.56
7433e588-e8b3-4e8a-9988-386171166a2b,Would Buy,Electronics,387.03
a6bd175d-2fc4-400f-adcb-9111ce55f49a,Try Right,Clothing,752.56
be484405-b990-4378-b748-7d7aa599d9ba,Great Prove,Clothing,382.28
063209ed-a683-4b0f-911d-351835ad68b0,Focus Raise,Home,299.43
6f942656-b6b4-4028-9d42-182d621b2181,Region Respond,Clothing,542.56
8762711b-0aa7-4cbc-bcca-072be23c898a,Painting Floor,Home,625.95
7639ea5f-97b4-44ab-8879-448dd4f76f83,Within Nearly,Home,443.63
c311ed77-f528-4b2c-b8d5-35e6427a650f,Last Action,Electronics,959.1
d40e69c4-e8c0-46da-9aa8-f47440c2afa8,Site Education,Sports,583.53
f5f0dfa0-2784-40d4-89d4-2a14b4450aad,Theory Question,Home,424.54
43a501de-aa43-468f-ad99-6a91e3bff429,Agreement Gun,Books,903.74
fe09f8b6-f8e9-4151-9b8d-86759d32c613,Thing Pay,Sports,748.0
57669fa0-d0dd-4564-b597-98d2c6196d96,Collection Large,Sports,57.29
c584029e-5c60-4989-af8a-0b5eefa8884f,Without Water,Clothing,382.12
43db9f8e-0321-4d92-a2ca-95a6b0143355,Response Scene,Sports,227.86
e353b7ae-e504-4438-beb9-6a73e7ebd1e2,Military Do,Electronics,596.34
dec75226-fb00-40d0-a99b-fa8014eb6fd3,Record Every,Sports,304.52
45101691-cd93-4aa4-922d-58e76b212f79,Significant Degree,Home,276.23
6c403b70-be8c-4416-bbfd-e9fd5a4353be,Conference Window,Sports,647.47
29ca63f4-ec53-4f43-a105-fd3d622b844b,Magazine Send,Clothing,373.97
d35ffbe8-445d-4717-b2fb-d32b41fdc8f0,Authority Fear,Home,11.32
ed365524-38b1-4784-a3b5-baef52faf3c2,Specific Range,Sports,930.42
4979aca5-40ac-49ab-a400-e67fcfd34315,Hand Under,Sports,355.39
39fc8749-78ee-4755-83e9-5441161b268a,Nature Section,Sports,484.1
654c8c5d-0fa7-41e7-a8a3-655b1a316a4b,Bit Wide,Home,507.52
22f6cfd5-895e-4312-98a2-b5e46d931f96,Box Gas,Electronics,507.91
1b367422-5401-48f0-b1f4-880b2d23816e,Employee Audience,Electronics,396.28
be55d295-cc23-43ab-a045-5506e59c3b3f,Despite Account,Home,804.83
0894b5ab-ae54-47d2-b135-c753ee3d9e69,Write Charge,Books,334.85
e0231bee-c25d-45d7-bc94-2c2ae9b36df8,Civil Name,Books,689.94
8f5ac1a9-bce3-4a43-bc40-41ca3b3787fe,Citizen Series,Books,654.14
a97f5deb-972f-4fae-bf27-11453fe2fe0e,Power Its,Books,830.9
846c1789-c567-4e4f-8c34-f0beeb070ab0,Meet If,Sports,764.97
fd735c4d-db89-4c70-81cf-bb36e1973e45,Anyone Look,Books,738.69
4dc06155-3610-4743-824f-ab2f953f5a1f,Western Off,Electronics,239.63
294d282e-81cd-4d43-b5cd-a1b86c89159b,Development Event,Books,235.95
97670a63-16f1-443b-a96c-eb6e9a65c6b7,Threat Reveal,Clothing,154.09
