number,year,country,activity,sex,age,fatal_clean,decade,century
61753,2018,USA,Paddling,F,57.0,0,2010,21
61754,2018,USA,Standing,F,11.0,0,2010,21
61755,2018,USA,Surfing,M,48.0,0,2010,21
61756,2018,AUSTRALIA,Surfing,M,24.0,0,2010,21
61757,2018,MEXICO,Free diving,M,24.0,0,2010,21
61758,2018,AUSTRALIA,Kite surfing,M,24.0,0,2010,21
61759,2018,BRAZIL,Swimming,M,18.0,1,2010,21
61760,2018,USA,Fishing,M,52.0,0,2010,21
61761,2018,USA,Walking,M,15.0,0,2010,21
61762,2018,USA,Standing,M,12.0,0,2010,21
61763,2018,AUSTRALIA,Feeding sharks,M,32.0,0,2010,21
61764,2018,USA,Boogie boarding,M,10.0,0,2010,21
61765,2018,USA,Swimming,M,10.0,0,2010,21
61766,2018,ENGLAND,Fishing,M,21.0,0,2010,21
61767,2018,AUSTRALIA,Feeding sharks,F,34.0,0,2010,21
61768,2018,SOUTH AFRICA,Surfing,M,24.0,0,2010,21
61769,2018,AUSTRALIA,Surfing,M,24.0,0,2010,21
61770,2018,THAILAND,Swimming,M,24.0,0,2010,21
61771,2018,COSTA RICA,Scuba diving,M,30.0,0,2010,21
61772,2018,AUSTRALIA,Surfing,M,24.0,0,2010,21
61773,2018,AUSTRALIA,Surfing,M,24.0,0,2010,21
61774,2018,AUSTRALIA,Surfing,M,60.0,0,2010,21
61775,2018,AUSTRALIA,Surfing,M,24.0,0,2010,21
61776,2018,MALDIVES,Fishing,M,32.0,0,2010,21
61777,2018,SOUTH AFRICA,Paddle-skiing,M,33.0,0,2010,21
61778,2018,USA,Body boarding,M,29.0,0,2010,21
61779,2018,THAILAND,Swimming,M,54.0,0,2010,21
61780,2018,BRAZIL,Swimming,M,34.0,0,2010,21
61781,2018,AUSTRALIA,Surfing,M,41.0,0,2010,21
61782,2018,AUSTRALIA,Surfing,M,37.0,0,2010,21
61783,2018,BAHAMAS,Surfing,M,24.0,0,2010,21
61784,2018,BRAZIL,Fishing,M,56.0,0,2010,21
61785,2018,NEW CALEDONIA,Windsurfing,Unknown,24.0,0,2010,21
61786,2018,BAHAMAS,Swimming,M,12.0,0,2010,21
61787,2018,SOUTH AFRICA,Surfing,M,19.0,0,2010,21
61788,2018,USA,Stand-Up Paddleboarding,M,25.0,0,2010,21
61789,2018,AUSTRALIA,Wading,M,10.0,0,2010,21
61790,2018,AUSTRALIA,Swimming,M,69.0,0,2010,21
61791,2018,AUSTRALIA,Surfing,M,18.0,0,2010,21
61792,2018,SOUTH AFRICA,Scuba Diving,M,38.0,0,2010,21
61793,2018,AUSTRALIA,Swimming,F,55.0,0,2010,21
61794,2018,AUSTRALIA,Kayak fishing for sharks,M,34.0,0,2010,21
61795,2018,AUSTRALIA,Walking,M,35.0,0,2010,21
61796,2018,AUSTRALIA,Swimming,F,24.0,0,2010,21
61797,2018,BRAZIL,Cleaning fish,F,46.0,0,2010,21
61798,2018,ECUADOR,Snorkeling,M,45.0,0,2010,21
61799,2018,AUSTRALIA,Spearfishing,M,14.0,0,2010,21
61800,2018,AUSTRALIA,Unknown,M,18.0,0,2010,21
61801,2018,NEW CALEDONIA,Spearfishing,M,40.0,0,2010,21
61802,2018,AUSTRALIA,Diving,M,24.0,0,2010,21
61803,2018,AUSTRALIA,Free diving,M,28.0,0,2010,21
61804,2018,BRAZIL,Surfing,M,20.0,0,2010,21
61805,2018,AUSTRALIA,Surfing,M,24.0,0,2010,21
61806,2017,USA,Surfing,F,54.0,0,2010,21
61807,2017,USA,Surfing,F,35.0,0,2010,21
61808,2017,MALAYSIA,Fishing / Wading,M,24.0,0,2010,21
61809,2017,BAHAMAS,Snorkeling,F,25.0,0,2010,21
61810,2017,COSTA RICA,Scuba Diving,M,26.0,0,2010,21
61811,2017,COSTA RICA,Scuba diving,F,49.0,1,2010,21
61812,2017,LIBYA,2 boats capsized,Unknown,24.0,1,2010,21
61813,2017,USA,Spearfishing,M,25.0,0,2010,21
61814,2017,USA,Surfing,F,14.0,0,2010,21
61815,2017,Unknown,Surfing,M,24.0,0,2010,21
61816,2017,AUSTRALIA,Surfing,M,25.0,0,2010,21
61817,2017,CUBA,Night bathing,M,22.0,1,2010,21
61818,2017,AUSTRALIA,Snorkeling,M,7.0,0,2010,21
61819,2017,AUSTRALIA,Surfing,M,31.0,0,2010,21
61820,2017,USA,Stand-Up Paddleboarding,M,24.0,0,2010,21
61821,2017,MAURITIUS,Swimming,M,24.0,0,2010,21
61822,2017,USA,Surfing,M,17.0,0,2010,21
61823,2017,USA,Swimming,F,60.0,0,2010,21
